dataset,end-date,entry-date,notes,start-date,provision-reason,organisation,project,specification
ancient-woodland-status,,2023-08-17,,,authoritative,government-organisation:PB202,,
area-of-outstanding-natural-beauty,,2023-08-17,,,authoritative,government-organisation:PB202,,
heritage-coast,,2023-08-17,,,authoritative,government-organisation:PB202,,
ramsar,,2023-08-17,,,authoritative,government-organisation:PB202,,
site-of-special-scientific-interest,,2023-08-17,,,authoritative,government-organisation:PB202,,
special-area-of-conservation,,2023-08-17,,,authoritative,government-organisation:PB202,,
special-protection-area,,2023-08-17,,,authoritative,government-organisation:PB202,,
development-corporation,,2023-08-17,,,alternative,nonprofit:Q180,,
government-organisation,,2023-08-17,,,alternative,nonprofit:Q180,,
local-authority,,2023-08-17,,,alternative,nonprofit:Q180,,
national-park-authority,,2023-08-17,,,alternative,nonprofit:Q180,,
nonprofit,,2023-08-17,,,alternative,nonprofit:Q180,,
passenger-transport-executive,,2023-08-17,,,alternative,nonprofit:Q180,,
public-authority,,2023-08-17,,,alternative,nonprofit:Q180,,
regional-park-authority,,2023-08-17,,,alternative,nonprofit:Q180,,
waste-authority,,2023-08-17,,,alternative,nonprofit:Q180,,
design-code,,2023-08-17,,,expected,local-authority:BDG,design-codes,design-code
design-code-area,,2023-08-17,,,expected,local-authority:BDG,design-codes,design-code
design-code-rule,,2023-08-17,,,expected,local-authority:BDG,design-codes,design-code
design-code,,2023-08-17,,,expected,local-authority:BEN,design-codes,design-code
design-code-area,,2023-08-17,,,expected,local-authority:BEN,design-codes,design-code
design-code-rule,,2023-08-17,,,expected,local-authority:BEN,design-codes,design-code
design-code,,2023-08-17,,,expected,local-authority:BPC,design-codes,design-code
design-code-area,,2023-08-17,,,expected,local-authority:BPC,design-codes,design-code
design-code-rule,,2023-08-17,,,expected,local-authority:BPC,design-codes,design-code
design-code,,2023-08-17,,,expected,local-authority:BRD,design-codes,design-code
design-code-area,,2023-08-17,,,expected,local-authority:BRD,design-codes,design-code
design-code-rule,,2023-08-17,,,expected,local-authority:BRD,design-codes,design-code
design-code,,2023-08-17,,,expected,local-authority:CAB,design-codes,design-code
design-code-area,,2023-08-17,,,expected,local-authority:CAB,design-codes,design-code
design-code-rule,,2023-08-17,,,expected,local-authority:CAB,design-codes,design-code
design-code,,2023-08-17,,,expected,local-authority:CAR,design-codes,design-code
design-code-area,,2023-08-17,,,expected,local-authority:CAR,design-codes,design-code
design-code-rule,,2023-08-17,,,expected,local-authority:CAR,design-codes,design-code
design-code,,2023-08-17,,,expected,local-authority:DAL,design-codes,design-code
design-code-area,,2023-08-17,,,expected,local-authority:DAL,design-codes,design-code
design-code-rule,,2023-08-17,,,expected,local-authority:DAL,design-codes,design-code
design-code,,2023-08-17,,,expected,local-authority:DUD,design-codes,design-code
design-code-area,,2023-08-17,,,expected,local-authority:DUD,design-codes,design-code
design-code-rule,,2023-08-17,,,expected,local-authority:DUD,design-codes,design-code
design-code,,2023-08-17,,,expected,local-authority:EPP,design-codes,design-code
design-code-area,,2023-08-17,,,expected,local-authority:EPP,design-codes,design-code
design-code-rule,,2023-08-17,,,expected,local-authority:EPP,design-codes,design-code
design-code,,2023-08-17,,,expected,local-authority:ERY,design-codes,design-code
design-code-area,,2023-08-17,,,expected,local-authority:ERY,design-codes,design-code
design-code-rule,,2023-08-17,,,expected,local-authority:ERY,design-codes,design-code
design-code,,2023-08-17,,,expected,local-authority:GED,design-codes,design-code
design-code-area,,2023-08-17,,,expected,local-authority:GED,design-codes,design-code
design-code-rule,,2023-08-17,,,expected,local-authority:GED,design-codes,design-code
design-code,,2023-08-17,,,expected,local-authority:MAS,design-codes,design-code
design-code-area,,2023-08-17,,,expected,local-authority:MAS,design-codes,design-code
design-code-rule,,2023-08-17,,,expected,local-authority:MAS,design-codes,design-code
design-code,,2023-08-17,,,expected,local-authority:MDW,design-codes,design-code
design-code-area,,2023-08-17,,,expected,local-authority:MDW,design-codes,design-code
design-code-rule,,2023-08-17,,,expected,local-authority:MDW,design-codes,design-code
design-code,,2023-08-17,,,expected,local-authority:REI,design-codes,design-code
design-code-area,,2023-08-17,,,expected,local-authority:REI,design-codes,design-code
design-code-rule,,2023-08-17,,,expected,local-authority:REI,design-codes,design-code
design-code,,2023-08-17,,,expected,local-authority:SCA,design-codes,design-code
design-code-area,,2023-08-17,,,expected,local-authority:SCA,design-codes,design-code
design-code-rule,,2023-08-17,,,expected,local-authority:SCA,design-codes,design-code
design-code,,2023-08-17,,,expected,local-authority:SHR,design-codes,design-code
design-code-area,,2023-08-17,,,expected,local-authority:SHR,design-codes,design-code
design-code-rule,,2023-08-17,,,expected,local-authority:SHR,design-codes,design-code
design-code,,2023-08-17,,,expected,local-authority:SRY,design-codes,design-code
design-code-area,,2023-08-17,,,expected,local-authority:SRY,design-codes,design-code
design-code-rule,,2023-08-17,,,expected,local-authority:SRY,design-codes,design-code
design-code,,2023-08-17,,,expected,local-authority:TEI,design-codes,design-code
design-code-area,,2023-08-17,,,expected,local-authority:TEI,design-codes,design-code
design-code-rule,,2023-08-17,,,expected,local-authority:TEI,design-codes,design-code
design-code,,2023-08-17,,,expected,local-authority:TRF,design-codes,design-code
design-code-area,,2023-08-17,,,expected,local-authority:TRF,design-codes,design-code
design-code-rule,,2023-08-17,,,expected,local-authority:TRF,design-codes,design-code
design-code,,2023-08-17,,,expected,local-authority:UTT,design-codes,design-code
design-code-area,,2023-08-17,,,expected,local-authority:UTT,design-codes,design-code
design-code-rule,,2023-08-17,,,expected,local-authority:UTT,design-codes,design-code
design-code,,2023-08-17,,,expected,national-park-authority:Q27159704,design-codes,design-code
design-code-area,,2023-08-17,,,expected,national-park-authority:Q27159704,design-codes,design-code
design-code-rule,,2023-08-17,,,expected,national-park-authority:Q27159704,design-codes,design-code
article-4-direction,,2023-08-17,,,expected,local-authority:BOS,open-digital-planning,article-4-direction
article-4-direction-area,,2023-08-17,,,expected,local-authority:BOS,open-digital-planning,article-4-direction
conservation-area,,2023-08-17,,,expected,local-authority:BOS,open-digital-planning,conservation-area
conservation-area-document,,2023-08-17,,,expected,local-authority:BOS,open-digital-planning,conservation-area
listed-building-outline,,2023-08-17,,,expected,local-authority:BOS,open-digital-planning,listed-building
tree,,2023-08-17,,,expected,local-authority:BOS,open-digital-planning,tree-preservation-order
tree-preservation-order,,2023-08-17,,,expected,local-authority:BOS,open-digital-planning,tree-preservation-order
tree-preservation-zone,,2023-08-17,,,expected,local-authority:BOS,open-digital-planning,tree-preservation-order
article-4-direction,,2023-08-17,,,expected,local-authority:BUC,open-digital-planning,article-4-direction
article-4-direction-area,,2023-08-17,,,expected,local-authority:BUC,open-digital-planning,article-4-direction
conservation-area,,2023-08-17,,,expected,local-authority:BUC,open-digital-planning,conservation-area
conservation-area-document,,2023-08-17,,,expected,local-authority:BUC,open-digital-planning,conservation-area
listed-building-outline,,2023-08-17,,,expected,local-authority:BUC,open-digital-planning,listed-building
tree,,2023-08-17,,,expected,local-authority:BUC,open-digital-planning,tree-preservation-order
tree-preservation-order,,2023-08-17,,,expected,local-authority:BUC,open-digital-planning,tree-preservation-order
tree-preservation-zone,,2023-08-17,,,expected,local-authority:BUC,open-digital-planning,tree-preservation-order
article-4-direction,,2023-08-17,,,expected,local-authority:CAT,open-digital-planning,article-4-direction
article-4-direction-area,,2023-08-17,,,expected,local-authority:CAT,open-digital-planning,article-4-direction
conservation-area,,2023-08-17,,,expected,local-authority:CAT,open-digital-planning,conservation-area
conservation-area-document,,2023-08-17,,,expected,local-authority:CAT,open-digital-planning,conservation-area
listed-building-outline,,2023-08-17,,,expected,local-authority:CAT,open-digital-planning,listed-building
tree,,2023-08-17,,,expected,local-authority:CAT,open-digital-planning,tree-preservation-order
tree-preservation-order,,2023-08-17,,,expected,local-authority:CAT,open-digital-planning,tree-preservation-order
tree-preservation-zone,,2023-08-17,,,expected,local-authority:CAT,open-digital-planning,tree-preservation-order
article-4-direction,,2023-08-17,,,expected,local-authority:CMD,open-digital-planning,article-4-direction
article-4-direction-area,,2023-08-17,,,expected,local-authority:CMD,open-digital-planning,article-4-direction
conservation-area,,2023-08-17,,,expected,local-authority:CMD,open-digital-planning,conservation-area
conservation-area-document,,2023-08-17,,,expected,local-authority:CMD,open-digital-planning,conservation-area
listed-building-outline,,2023-08-17,,,expected,local-authority:CMD,open-digital-planning,listed-building
tree,,2023-08-17,,,expected,local-authority:CMD,open-digital-planning,tree-preservation-order
tree-preservation-order,,2023-08-17,,,expected,local-authority:CMD,open-digital-planning,tree-preservation-order
tree-preservation-zone,,2023-08-17,,,expected,local-authority:CMD,open-digital-planning,tree-preservation-order
article-4-direction,,2023-08-17,,,expected,local-authority:DAC,open-digital-planning,article-4-direction
article-4-direction-area,,2023-08-17,,,expected,local-authority:DAC,open-digital-planning,article-4-direction
conservation-area,,2023-08-17,,,expected,local-authority:DAC,open-digital-planning,conservation-area
conservation-area-document,,2023-08-17,,,expected,local-authority:DAC,open-digital-planning,conservation-area
listed-building-outline,,2023-08-17,,,expected,local-authority:DAC,open-digital-planning,listed-building
tree,,2023-08-17,,,expected,local-authority:DAC,open-digital-planning,tree-preservation-order
tree-preservation-order,,2023-08-17,,,expected,local-authority:DAC,open-digital-planning,tree-preservation-order
tree-preservation-zone,,2023-08-17,,,expected,local-authority:DAC,open-digital-planning,tree-preservation-order
article-4-direction,,2023-08-17,,,expected,local-authority:DNC,open-digital-planning,article-4-direction
article-4-direction-area,,2023-08-17,,,expected,local-authority:DNC,open-digital-planning,article-4-direction
conservation-area,,2023-08-17,,,expected,local-authority:DNC,open-digital-planning,conservation-area
conservation-area-document,,2023-08-17,,,expected,local-authority:DNC,open-digital-planning,conservation-area
listed-building-outline,,2023-08-17,,,expected,local-authority:DNC,open-digital-planning,listed-building
tree,,2023-08-17,,,expected,local-authority:DNC,open-digital-planning,tree-preservation-order
tree-preservation-order,,2023-08-17,,,expected,local-authority:DNC,open-digital-planning,tree-preservation-order
tree-preservation-zone,,2023-08-17,,,expected,local-authority:DNC,open-digital-planning,tree-preservation-order
article-4-direction,,2023-08-17,,,expected,local-authority:GLO,open-digital-planning,article-4-direction
article-4-direction-area,,2023-08-17,,,expected,local-authority:GLO,open-digital-planning,article-4-direction
conservation-area,,2023-08-17,,,expected,local-authority:GLO,open-digital-planning,conservation-area
conservation-area-document,,2023-08-17,,,expected,local-authority:GLO,open-digital-planning,conservation-area
listed-building-outline,,2023-08-17,,,expected,local-authority:GLO,open-digital-planning,listed-building
tree,,2023-08-17,,,expected,local-authority:GLO,open-digital-planning,tree-preservation-order
tree-preservation-order,,2023-08-17,,,expected,local-authority:GLO,open-digital-planning,tree-preservation-order
tree-preservation-zone,,2023-08-17,,,expected,local-authority:GLO,open-digital-planning,tree-preservation-order
article-4-direction,,2023-08-17,,,expected,local-authority:LBH,open-digital-planning,article-4-direction
article-4-direction-area,,2023-08-17,,,expected,local-authority:LBH,open-digital-planning,article-4-direction
conservation-area,,2023-08-17,,,expected,local-authority:LBH,open-digital-planning,conservation-area
conservation-area-document,,2023-08-17,,,expected,local-authority:LBH,open-digital-planning,conservation-area
listed-building-outline,,2023-08-17,,,expected,local-authority:LBH,open-digital-planning,listed-building
tree,,2023-08-17,,,expected,local-authority:LBH,open-digital-planning,tree-preservation-order
tree-preservation-order,,2023-08-17,,,expected,local-authority:LBH,open-digital-planning,tree-preservation-order
tree-preservation-zone,,2023-08-17,,,expected,local-authority:LBH,open-digital-planning,tree-preservation-order
article-4-direction,,2023-08-17,,,expected,local-authority:MDW,open-digital-planning,article-4-direction
article-4-direction-area,,2023-08-17,,,expected,local-authority:MDW,open-digital-planning,article-4-direction
conservation-area,,2023-08-17,,,expected,local-authority:MDW,open-digital-planning,conservation-area
conservation-area-document,,2023-08-17,,,expected,local-authority:MDW,open-digital-planning,conservation-area
listed-building-outline,,2023-08-17,,,expected,local-authority:MDW,open-digital-planning,listed-building
tree,,2023-08-17,,,expected,local-authority:MDW,open-digital-planning,tree-preservation-order
tree-preservation-order,,2023-08-17,,,expected,local-authority:MDW,open-digital-planning,tree-preservation-order
tree-preservation-zone,,2023-08-17,,,expected,local-authority:MDW,open-digital-planning,tree-preservation-order
article-4-direction,,2023-08-17,,,expected,local-authority:NBL,open-digital-planning,article-4-direction
article-4-direction-area,,2023-08-17,,,expected,local-authority:NBL,open-digital-planning,article-4-direction
conservation-area,,2023-08-17,,,expected,local-authority:NBL,open-digital-planning,conservation-area
conservation-area-document,,2023-08-17,,,expected,local-authority:NBL,open-digital-planning,conservation-area
listed-building-outline,,2023-08-17,,,expected,local-authority:NBL,open-digital-planning,listed-building
tree,,2023-08-17,,,expected,local-authority:NBL,open-digital-planning,tree-preservation-order
tree-preservation-order,,2023-08-17,,,expected,local-authority:NBL,open-digital-planning,tree-preservation-order
tree-preservation-zone,,2023-08-17,,,expected,local-authority:NBL,open-digital-planning,tree-preservation-order
article-4-direction,,2023-08-17,,,expected,local-authority:NED,open-digital-planning,article-4-direction
article-4-direction-area,,2023-08-17,,,expected,local-authority:NED,open-digital-planning,article-4-direction
conservation-area,,2023-08-17,,,expected,local-authority:NED,open-digital-planning,conservation-area
conservation-area-document,,2023-08-17,,,expected,local-authority:NED,open-digital-planning,conservation-area
listed-building-outline,,2023-08-17,,,expected,local-authority:NED,open-digital-planning,listed-building
tree,,2023-08-17,,,expected,local-authority:NED,open-digital-planning,tree-preservation-order
tree-preservation-order,,2023-08-17,,,expected,local-authority:NED,open-digital-planning,tree-preservation-order
tree-preservation-zone,,2023-08-17,,,expected,local-authority:NED,open-digital-planning,tree-preservation-order
article-4-direction,,2023-08-17,,,expected,local-authority:NET,open-digital-planning,article-4-direction
article-4-direction-area,,2023-08-17,,,expected,local-authority:NET,open-digital-planning,article-4-direction
conservation-area,,2023-08-17,,,expected,local-authority:NET,open-digital-planning,conservation-area
conservation-area-document,,2023-08-17,,,expected,local-authority:NET,open-digital-planning,conservation-area
listed-building-outline,,2023-08-17,,,expected,local-authority:NET,open-digital-planning,listed-building
tree,,2023-08-17,,,expected,local-authority:NET,open-digital-planning,tree-preservation-order
tree-preservation-order,,2023-08-17,,,expected,local-authority:NET,open-digital-planning,tree-preservation-order
tree-preservation-zone,,2023-08-17,,,expected,local-authority:NET,open-digital-planning,tree-preservation-order
article-4-direction,,2023-08-17,,,expected,local-authority:SWK,open-digital-planning,article-4-direction
article-4-direction-area,,2023-08-17,,,expected,local-authority:SWK,open-digital-planning,article-4-direction
conservation-area,,2023-08-17,,,expected,local-authority:SWK,open-digital-planning,conservation-area
conservation-area-document,,2023-08-17,,,expected,local-authority:SWK,open-digital-planning,conservation-area
listed-building-outline,,2023-08-17,,,expected,local-authority:SWK,open-digital-planning,listed-building
tree,,2023-08-17,,,expected,local-authority:SWK,open-digital-planning,tree-preservation-order
tree-preservation-order,,2023-08-17,,,expected,local-authority:SWK,open-digital-planning,tree-preservation-order
tree-preservation-zone,,2023-08-17,,,expected,local-authority:SWK,open-digital-planning,tree-preservation-order
brownfield-land,,2023-08-17,,,statutory,development-corporation:Q20648596,brownfield-land,brownfield-land
developer-agreement,,2023-08-17,,,encouraged,development-corporation:Q20648596,developer-contribution,developer-ageement
developer-agreement-contribution,,2023-08-17,,,encouraged,development-corporation:Q20648596,developer-contribution,developer-ageement
developer-agreement-transaction,,2023-08-17,,,encouraged,development-corporation:Q20648596,developer-contribution,developer-ageement
design-code,,2023-08-17,,,prospective,development-corporation:Q20648596,design-codes,design-code
design-code-area,,2023-08-17,,,prospective,development-corporation:Q20648596,design-codes,design-code
design-code-rule,,2023-08-17,,,prospective,development-corporation:Q20648596,design-codes,design-code
article-4-direction,,2023-08-17,,,prospective,development-corporation:Q20648596,open-digital-planning,article-4-direction
article-4-direction-area,,2023-08-17,,,prospective,development-corporation:Q20648596,open-digital-planning,article-4-direction
conservation-area,,2023-08-17,,,prospective,development-corporation:Q20648596,open-digital-planning,conservation-area
conservation-area-document,,2023-08-17,,,prospective,development-corporation:Q20648596,open-digital-planning,conservation-area
listed-building-outline,,2023-08-17,,,prospective,development-corporation:Q20648596,open-digital-planning,listed-building
tree,,2023-08-17,,,prospective,development-corporation:Q20648596,open-digital-planning,tree-preservation-order
tree-preservation-order,,2023-08-17,,,prospective,development-corporation:Q20648596,open-digital-planning,tree-preservation-order
tree-preservation-zone,,2023-08-17,,,prospective,development-corporation:Q20648596,open-digital-planning,tree-preservation-order
brownfield-land,,2023-08-17,,,statutory,development-corporation:Q6670544,brownfield-land,brownfield-land
developer-agreement,,2023-08-17,,,encouraged,development-corporation:Q6670544,developer-contribution,developer-ageement
developer-agreement-contribution,,2023-08-17,,,encouraged,development-corporation:Q6670544,developer-contribution,developer-ageement
developer-agreement-transaction,,2023-08-17,,,encouraged,development-corporation:Q6670544,developer-contribution,developer-ageement
design-code,,2023-08-17,,,prospective,development-corporation:Q6670544,design-codes,design-code
design-code-area,,2023-08-17,,,prospective,development-corporation:Q6670544,design-codes,design-code
design-code-rule,,2023-08-17,,,prospective,development-corporation:Q6670544,design-codes,design-code
article-4-direction,,2023-08-17,,,prospective,development-corporation:Q6670544,open-digital-planning,article-4-direction
article-4-direction-area,,2023-08-17,,,prospective,development-corporation:Q6670544,open-digital-planning,article-4-direction
conservation-area,,2023-08-17,,,prospective,development-corporation:Q6670544,open-digital-planning,conservation-area
conservation-area-document,,2023-08-17,,,prospective,development-corporation:Q6670544,open-digital-planning,conservation-area
listed-building-outline,,2023-08-17,,,prospective,development-corporation:Q6670544,open-digital-planning,listed-building
tree,,2023-08-17,,,prospective,development-corporation:Q6670544,open-digital-planning,tree-preservation-order
tree-preservation-order,,2023-08-17,,,prospective,development-corporation:Q6670544,open-digital-planning,tree-preservation-order
tree-preservation-zone,,2023-08-17,,,prospective,development-corporation:Q6670544,open-digital-planning,tree-preservation-order
brownfield-land,,2023-08-17,,,statutory,development-corporation:Q72456968,brownfield-land,brownfield-land
developer-agreement,,2023-08-17,,,encouraged,development-corporation:Q72456968,developer-contribution,developer-ageement
developer-agreement-contribution,,2023-08-17,,,encouraged,development-corporation:Q72456968,developer-contribution,developer-ageement
developer-agreement-transaction,,2023-08-17,,,encouraged,development-corporation:Q72456968,developer-contribution,developer-ageement
design-code,,2023-08-17,,,prospective,development-corporation:Q72456968,design-codes,design-code
design-code-area,,2023-08-17,,,prospective,development-corporation:Q72456968,design-codes,design-code
design-code-rule,,2023-08-17,,,prospective,development-corporation:Q72456968,design-codes,design-code
article-4-direction,,2023-08-17,,,prospective,development-corporation:Q72456968,open-digital-planning,article-4-direction
article-4-direction-area,,2023-08-17,,,prospective,development-corporation:Q72456968,open-digital-planning,article-4-direction
conservation-area,,2023-08-17,,,prospective,development-corporation:Q72456968,open-digital-planning,conservation-area
conservation-area-document,,2023-08-17,,,prospective,development-corporation:Q72456968,open-digital-planning,conservation-area
listed-building-outline,,2023-08-17,,,prospective,development-corporation:Q72456968,open-digital-planning,listed-building
tree,,2023-08-17,,,prospective,development-corporation:Q72456968,open-digital-planning,tree-preservation-order
tree-preservation-order,,2023-08-17,,,prospective,development-corporation:Q72456968,open-digital-planning,tree-preservation-order
tree-preservation-zone,,2023-08-17,,,prospective,development-corporation:Q72456968,open-digital-planning,tree-preservation-order
brownfield-land,,2023-08-17,,,statutory,development-corporation:Q72463795,brownfield-land,brownfield-land
developer-agreement,,2023-08-17,,,encouraged,development-corporation:Q72463795,developer-contribution,developer-ageement
developer-agreement-contribution,,2023-08-17,,,encouraged,development-corporation:Q72463795,developer-contribution,developer-ageement
developer-agreement-transaction,,2023-08-17,,,encouraged,development-corporation:Q72463795,developer-contribution,developer-ageement
design-code,,2023-08-17,,,prospective,development-corporation:Q72463795,design-codes,design-code
design-code-area,,2023-08-17,,,prospective,development-corporation:Q72463795,design-codes,design-code
design-code-rule,,2023-08-17,,,prospective,development-corporation:Q72463795,design-codes,design-code
article-4-direction,,2023-08-17,,,prospective,development-corporation:Q72463795,open-digital-planning,article-4-direction
article-4-direction-area,,2023-08-17,,,prospective,development-corporation:Q72463795,open-digital-planning,article-4-direction
conservation-area,,2023-08-17,,,prospective,development-corporation:Q72463795,open-digital-planning,conservation-area
conservation-area-document,,2023-08-17,,,prospective,development-corporation:Q72463795,open-digital-planning,conservation-area
listed-building-outline,,2023-08-17,,,prospective,development-corporation:Q72463795,open-digital-planning,listed-building
tree,,2023-08-17,,,prospective,development-corporation:Q72463795,open-digital-planning,tree-preservation-order
tree-preservation-order,,2023-08-17,,,prospective,development-corporation:Q72463795,open-digital-planning,tree-preservation-order
tree-preservation-zone,,2023-08-17,,,prospective,development-corporation:Q72463795,open-digital-planning,tree-preservation-order
brownfield-land,,2023-08-17,,,statutory,local-authority:ADU,brownfield-land,brownfield-land
developer-agreement,,2023-08-17,,,encouraged,local-authority:ADU,developer-contribution,developer-ageement
developer-agreement-contribution,,2023-08-17,,,encouraged,local-authority:ADU,developer-contribution,developer-ageement
developer-agreement-transaction,,2023-08-17,,,encouraged,local-authority:ADU,developer-contribution,developer-ageement
design-code,,2023-08-17,,,prospective,local-authority:ADU,design-codes,design-code
design-code-area,,2023-08-17,,,prospective,local-authority:ADU,design-codes,design-code
design-code-rule,,2023-08-17,,,prospective,local-authority:ADU,design-codes,design-code
article-4-direction,,2023-08-17,,,prospective,local-authority:ADU,open-digital-planning,article-4-direction
article-4-direction-area,,2023-08-17,,,prospective,local-authority:ADU,open-digital-planning,article-4-direction
conservation-area,,2023-08-17,,,prospective,local-authority:ADU,open-digital-planning,conservation-area
conservation-area-document,,2023-08-17,,,prospective,local-authority:ADU,open-digital-planning,conservation-area
listed-building-outline,,2023-08-17,,,prospective,local-authority:ADU,open-digital-planning,listed-building
tree,,2023-08-17,,,prospective,local-authority:ADU,open-digital-planning,tree-preservation-order
tree-preservation-order,,2023-08-17,,,prospective,local-authority:ADU,open-digital-planning,tree-preservation-order
tree-preservation-zone,,2023-08-17,,,prospective,local-authority:ADU,open-digital-planning,tree-preservation-order
brownfield-land,,2023-08-17,,,statutory,local-authority:ALL,brownfield-land,brownfield-land
developer-agreement,,2023-08-17,,,encouraged,local-authority:ALL,developer-contribution,developer-ageement
developer-agreement-contribution,,2023-08-17,,,encouraged,local-authority:ALL,developer-contribution,developer-ageement
developer-agreement-transaction,,2023-08-17,,,encouraged,local-authority:ALL,developer-contribution,developer-ageement
design-code,,2023-08-17,,,prospective,local-authority:ALL,design-codes,design-code
design-code-area,,2023-08-17,,,prospective,local-authority:ALL,design-codes,design-code
design-code-rule,,2023-08-17,,,prospective,local-authority:ALL,design-codes,design-code
article-4-direction,,2023-08-17,,,prospective,local-authority:ALL,open-digital-planning,article-4-direction
article-4-direction-area,,2023-08-17,,,prospective,local-authority:ALL,open-digital-planning,article-4-direction
conservation-area,,2023-08-17,,,prospective,local-authority:ALL,open-digital-planning,conservation-area
conservation-area-document,,2023-08-17,,,prospective,local-authority:ALL,open-digital-planning,conservation-area
listed-building-outline,,2023-08-17,,,prospective,local-authority:ALL,open-digital-planning,listed-building
tree,,2023-08-17,,,prospective,local-authority:ALL,open-digital-planning,tree-preservation-order
tree-preservation-order,,2023-08-17,,,prospective,local-authority:ALL,open-digital-planning,tree-preservation-order
tree-preservation-zone,,2023-08-17,,,prospective,local-authority:ALL,open-digital-planning,tree-preservation-order
brownfield-land,,2023-08-17,,,statutory,local-authority:AMB,brownfield-land,brownfield-land
developer-agreement,,2023-08-17,,,encouraged,local-authority:AMB,developer-contribution,developer-ageement
developer-agreement-contribution,,2023-08-17,,,encouraged,local-authority:AMB,developer-contribution,developer-ageement
developer-agreement-transaction,,2023-08-17,,,encouraged,local-authority:AMB,developer-contribution,developer-ageement
design-code,,2023-08-17,,,prospective,local-authority:AMB,design-codes,design-code
design-code-area,,2023-08-17,,,prospective,local-authority:AMB,design-codes,design-code
design-code-rule,,2023-08-17,,,prospective,local-authority:AMB,design-codes,design-code
article-4-direction,,2023-08-17,,,prospective,local-authority:AMB,open-digital-planning,article-4-direction
article-4-direction-area,,2023-08-17,,,prospective,local-authority:AMB,open-digital-planning,article-4-direction
conservation-area,,2023-08-17,,,prospective,local-authority:AMB,open-digital-planning,conservation-area
conservation-area-document,,2023-08-17,,,prospective,local-authority:AMB,open-digital-planning,conservation-area
listed-building-outline,,2023-08-17,,,prospective,local-authority:AMB,open-digital-planning,listed-building
tree,,2023-08-17,,,prospective,local-authority:AMB,open-digital-planning,tree-preservation-order
