dataset,end-date,entry-date,notes,start-date,provision-reason,organisation,project,specification
area-of-outstanding-natural-beauty,,2023-08-17,,,alternative,government-organisation:D1342,,
article-4-direction-rule,,2023-08-17,,,alternative,government-organisation:D1342,,
battlefield,,2023-08-17,,,alternative,government-organisation:D1342,,
conservation-area,,2023-08-17,,,alternative,government-organisation:D1342,,
development-corporation,,2023-08-17,,,alternative,government-organisation:D1342,,
government-organisation,,2023-08-17,,,alternative,government-organisation:D1342,,
green-belt,,2023-08-17,,,alternative,government-organisation:D1342,,
national-park-authority,,2023-08-17,,,alternative,government-organisation:D1342,,
nonprofit,,2023-08-17,,,alternative,government-organisation:D1342,,
passenger-transport-executive,,2023-08-17,,,alternative,government-organisation:D1342,,
public-authority,,2023-08-17,,,alternative,government-organisation:D1342,,
ramsar,,2023-08-17,,,alternative,government-organisation:D1342,,
regional-park-authority,,2023-08-17,,,alternative,government-organisation:D1342,,
waste-authority,,2023-08-17,,,alternative,government-organisation:D1342,,
world-heritage-site,,2023-08-17,,,alternative,government-organisation:D1342,,
article-4-direction-rule,,2023-08-17,,,encouraged,government-organisation:D1342,,
contribution-funding-status,,2023-08-17,,,encouraged,government-organisation:D1342,,
contribution-purpose,,2023-08-17,,,encouraged,government-organisation:D1342,,
design-code-category,,2023-08-17,,,encouraged,government-organisation:D1342,,
design-code-status,,2023-08-17,,,encouraged,government-organisation:D1342,,
developer-agreement-type,,2023-08-17,,,encouraged,government-organisation:D1342,,
green-belt-core,,2023-08-17,,,encouraged,government-organisation:D1342,,
infrastructure-funding-statement,,2023-08-17,,,encouraged,government-organisation:D1342,,
local-authority,,2023-08-17,,,encouraged,government-organisation:D1342,,
local-authority-type,,2023-08-17,,,encouraged,government-organisation:D1342,,
planning-permission-status,,2023-08-17,,,encouraged,government-organisation:D1342,,
planning-permission-type,,2023-08-17,,,encouraged,government-organisation:D1342,,
development-plan-type,,2023-08-17,,,prospective,government-organisation:D1342,,
ownership-status,,2023-08-17,,,statutory,government-organisation:D1342,,
site-category,,2023-08-17,,,statutory,government-organisation:D1342,,
local-authority-district,,2023-08-17,,,authoritative,government-organisation:D303,,
local-planning-authority,,2023-08-17,,,authoritative,government-organisation:D303,,
national-park,,2023-08-17,,,authoritative,government-organisation:D303,,
parish,,2023-08-17,,,authoritative,government-organisation:D303,,
region,,2023-08-17,,,authoritative,government-organisation:D303,,
conservation-area,,2023-08-17,,,alternative,government-organisation:PB1164,,
battlefield,,2023-08-17,,,authoritative,government-organisation:PB1164,,
building-preservation-notice,,2023-08-17,,,authoritative,government-organisation:PB1164,,
certificate-of-immunity,,2023-08-17,,,authoritative,government-organisation:PB1164,,
heritage-at-risk,,2023-08-17,,,authoritative,government-organisation:PB1164,,
listed-building,,2023-08-17,,,authoritative,government-organisation:PB1164,,
listed-building-grade,,2023-08-17,,,authoritative,government-organisation:PB1164,,
park-and-garden,,2023-08-17,,,authoritative,government-organisation:PB1164,,
park-and-garden-grade,,2023-08-17,,,authoritative,government-organisation:PB1164,,
protected-wreck-site,,2023-08-17,,,authoritative,government-organisation:PB1164,,
scheduled-monument,,2023-08-17,,,authoritative,government-organisation:PB1164,,
world-heritage-site,,2023-08-17,,,authoritative,government-organisation:PB1164,,
world-heritage-site-buffer-zone,,2023-08-17,,,authoritative,government-organisation:PB1164,,
ancient-woodland,,2023-08-17,,,authoritative,government-organisation:PB202,,
