entity,name,prefix,reference,description,notes,entry-date,start-date,end-date
4500000,Section 106,developer-agreement-type,section-106,,,2023-09-28,2018-12-04,
4500001,Community infrastructure levy,developer-agreement-type,community-infrastructure-levy,,,2023-09-28,2018-12-04,
4500002,Section 278,developer-agreement-type,section-278,,,2023-09-28,2019-08-30,
