end-date,entity,entry-date,name,notes,prefix,reference,start-date
,,,Planning authority district,,development-plan-geography-type,planning-authority-district,
,,,Combined planning authority district,,development-plan-geography-type,combined-planning-authority-district,
,,,Designated plan area,The geography of an area defined for the purposes of a specific plan,development-plan-geography-type,designated-plan-area,
