entity,name,prefix,reference,local-resilience-forum-boundary,notes,parliament-thesaurus,statistical-geography,twitter,website,whatdotheyknow-body,wikidata,wikipedia,entry-date,start-date,end-date
3001,Avon & Somerset,local-resilience-forum,avon-and-somerset,E48000001,,,E48000001,,,,,,2025-02-20,,
3002,Bedfordshire,local-resilience-forum,bedfordshire,E48000002,,,E48000002,,,,,,2025-02-20,,
3003,Cambridgeshire,local-resilience-forum,cambridgeshire,E48000003,,,E48000003,,,,,,2025-02-20,,
3004,Cheshire,local-resilience-forum,cheshire,E48000004,,,E48000004,,,,,,2025-02-20,,
3005,Cleveland,local-resilience-forum,cleveland,E48000005,,,E48000005,,,,,,2025-02-20,,
3006,Cumbria,local-resilience-forum,cumbria,E48000006,,,E48000006,,,,,,2025-02-20,,
3007,Derbyshire,local-resilience-forum,derbyshire,E48000007,,,E48000007,,,,,,2025-02-20,,
3008,"Devon, Cornwall & Isle of Scilly",local-resilience-forum,devon-cornwall-and-isle-of-scilly,E48000008,,,E48000008,,,,,,2025-02-20,,
3009,Dorset,local-resilience-forum,dorset,E48000009,,,E48000009,,,,,,2025-02-20,,
3010,Durham & Darlington,local-resilience-forum,durham-and-darlington,E48000010,,,E48000010,,,,,,2025-02-20,,
3011,Essex,local-resilience-forum,essex,,,,E48000011,,,,,,2025-02-20,,
3012,Gloucestershire,local-resilience-forum,gloucestershire,E48000012,,,E48000012,,,,,,2025-02-20,,
3013,Greater Manchester,local-resilience-forum,greater-manchester,E48000013,,,E48000013,,,,,,2025-02-20,,
3014,Hampshire & Isle of Wight,local-resilience-forum,hampshire-and-isle-of-wight,E48000014,,,E48000014,,,,,,2025-02-20,,
3015,Hertfordshire,local-resilience-forum,hertfordshire,E48000015,,,E48000015,,,,,,2025-02-20,,
3016,Humber,local-resilience-forum,humber,E48000016,,468896,E48000016,,https://www.humberlrf.gov.uk/,humber_lrf,Q104604318,,2025-02-20,,
3017,Kent,local-resilience-forum,kent,E48000017,,,E48000017,,,,,,2025-02-20,,
3018,Lancashire,local-resilience-forum,lancashire,E48000018,,,E48000018,,,,,,2025-02-20,,
3019,Leicestershire,local-resilience-forum,leicestershire,E48000019,,,E48000019,,,,,,2025-02-20,,
3020,Lincolnshire,local-resilience-forum,lincolnshire,E48000020,,,E48000020,,,,,,2025-02-20,,
3021,London,local-resilience-forum,london,E48000021,,,E48000021,,,,,,2025-02-20,,
3022,Merseyside,local-resilience-forum,merseyside,E48000022,,,E48000022,,,,,,2025-02-20,,
3023,Norfolk,local-resilience-forum,norfolk,E48000023,,,E48000023,,,,,,2025-02-20,,
3024,North Yorkshire,local-resilience-forum,north-yorkshire,E48000024,,,E48000024,,,,,,2025-02-20,,
3025,Northamptonshire,local-resilience-forum,northamptonshire,E48000025,,,E48000025,,,,,,2025-02-20,,
3026,Northumbria,local-resilience-forum,northumbria,E48000026,,,E48000026,,,,,,2025-02-20,,
3027,Nottinghamshire,local-resilience-forum,nottinghamshire,E48000027,,,E48000027,,,,,,2025-02-20,,
3028,South Yorkshire,local-resilience-forum,south-yorkshire,E48000028,,,E48000028,,,,,,2025-02-20,,
3029,Staffordshire,local-resilience-forum,staffordshire,E48000029,,,E48000029,,,,,,2025-02-20,,
3030,Suffolk,local-resilience-forum,suffolk,E48000030,,,E48000030,,,,,,2025-02-20,,
3031,Surrey,local-resilience-forum,surrey,E48000031,,,E48000031,,,,,,2025-02-20,,
3032,Sussex,local-resilience-forum,sussex,E48000032,,,E48000032,,,,,,2025-02-20,,
3033,Thames Valley,local-resilience-forum,thames-valley,E48000033,,,E48000033,,,,,,2025-02-20,,
3034,Warwickshire,local-resilience-forum,warwickshire,E48000034,,,E48000034,,,,,,2025-02-20,,
3035,West Mercia,local-resilience-forum,west-mercia,E48000035,,,E48000035,,,,,,2025-02-20,,
3036,West Midlands,local-resilience-forum,west-midlands,E48000036,,,E48000036,,,,,,2025-02-20,,
3037,West Yorkshire,local-resilience-forum,west-yorkshire,E48000037,,,E48000037,,,,,,2025-02-20,,
3038,Wiltshire & Swindon,local-resilience-forum,wiltshire-and-swindon,E48000038,,,E48000038,,,,,,2025-02-20,,
