entity,name,prefix,reference,description,notes,entry-date,start-date,end-date
5200000,Area action plan,development-plan-type,area-action-plan,,,2023-09-28,2020-07-13,
5200001,Core strategy,development-plan-type,core-strategy,,,2023-09-28,2020-07-13,
5200002,Development management,development-plan-type,development-management,,,2023-09-28,2020-07-13,
5200003,Local plan,development-plan-type,local-plan,,,2023-09-28,2020-07-13,
5200004,Minerals & Waste,development-plan-type,minerals-waste,,,2023-09-28,2020-07-13,2021-03-29
5200005,all other types,development-plan-type,all-other-types,,,2023-09-28,2020-07-13,2023-10-03
5200006,Partial review,development-plan-type,partial-review,,,2023-09-28,2020-07-13,
5200007,Site allocations,development-plan-type,site-allocations,,,2023-09-28,2020-07-13,
5200008,Neighbourhood plan,development-plan-type,neighbourhood-plan,,,2023-09-28,2021-02-04,
5200009, Minerals plan,development-plan-type,minerals-plan,,,2023-09-28,2021-03-29,
5200010, Waste plan,development-plan-type,waste-plan,,,2023-09-28,2021-03-29,
