entity,name,prefix,reference,notes,wikidata,wikipedia,entry-date,start-date,end-date
611001,Bath and Bristol,green-belt-core,Bath and Bristol,,Q48742764,Avon_Green_Belt,2023-09-28,,
611002,Birmingham,green-belt-core,Birmingham,,Q48742526,West_Midlands_Green_Belt,2023-09-28,,
611003,Blackpool,green-belt-core,Blackpool,,Q48742432,North_West_Green_Belt,2023-09-28,,
611004,South West Hampshire,green-belt-core,South West Hampshire,,Q48742743,South_East_Dorset_Green_Belt,2023-09-28,,
611005,Burton-upon-Trent and Swadlincote,green-belt-core,Burton-upon-Trent and Swadlincote,,Q48741023,Burton_upon_Trent_and_Swadlincote_Green_Belt,2023-09-28,,
611006,Cambridge,green-belt-core,Cambridge,,Q48742824,Cambridge_Green_Belt,2023-09-28,,
611000,"Carnforth, Lancaster and Morecambe",green-belt-core,Carnforth,,Q48742432,North_West_Green_Belt,2023-09-28,,
611008,Cheltenham and Gloucester,green-belt-core,Cheltenham and Gloucester,,Q48742734,Gloucester_and_Cheltenham_Green_Belt,2023-09-28,,
611009,Derby and Nottingham,green-belt-core,Derby and Nottingham,,Q48741008,Nottingham_and_Derby_Green_Belt,2023-09-28,,
611010,London,green-belt-core,London,,Q6825103,Metropolitan_Green_Belt,2023-09-28,,
611011,Merseyside and Greater Manchester,green-belt-core,Merseyside and Greater Manchester,,Q48742432,North_West_Green_Belt,2023-09-28,,
611012,Oxford,green-belt-core,Oxford,,Q48698819,Oxford_Green_Belt,2023-09-28,,
611013,South and West Yorkshire,green-belt-core,South and West Yorkshire,,Q48742434,South_and_West_Yorkshire_Green_Belt,2023-09-28,,
611014,Stoke-on-Trent,green-belt-core,Stoke-on-Trent,,Q48742704,Stoke-on-Trent_Green_Belt,2023-09-28,,
611015,Tyne and Wear,green-belt-core,Tyne and Wear,,Q48742725,North_East_Green_Belt,2023-09-28,,
611016,York,green-belt-core,York,,Q48742437,York_Green_Belt,2023-09-28,,
