entity,name,prefix,reference,description,design-code-characteristic,notes,entry-date,start-date,end-date
640145,Meeting Places,design-code-rule-category,meeting-places,,public-spaces,,2024-03-05,,
640146,Multi-functional,design-code-rule-category,multi-functional,,public-spaces,,2024-03-05,,
640147,Furniture,design-code-rule-category,furniture,,public-spaces,,2024-03-05,,
640148,Public Art,design-code-rule-category,public-art,,public-spaces,,2024-03-05,,
640149,Home Zones,design-code-rule-category,home-zones,,public-spaces,,2024-03-05,,
640150,Secured by Design,design-code-rule-category,secured-by-design,,public-spaces,,2024-03-05,,
640151,Counter Terrorism,design-code-rule-category,counter-terrorism,,public-spaces,,2024-03-05,,
640152,Efficient Land Use,design-code-rule-category,efficient-land-use,,uses,,2024-03-05,,
640153,Mix,design-code-rule-category,mix,,uses,,2024-03-05,,
640154,Active Frontage,design-code-rule-category,active-frontage,,uses,,2024-03-05,,
640155,Housing for All,design-code-rule-category,housing-for-all,,uses,,2024-03-05,,
640156,Type,design-code-rule-category,type,,uses,,2024-03-05,,
640157,Schools,design-code-rule-category,schools,,uses,,2024-03-05,,
640158,Community Facilities,design-code-rule-category,community-facilities,,uses,,2024-03-05,,
640159,Local Services,design-code-rule-category,local-services,,uses,,2024-03-05,,
640160,Space Standards,design-code-rule-category,space-standards,,homes-and-buildings,,2024-03-05,,
640161,Ceiling Heights,design-code-rule-category,ceiling-heights,,homes-and-buildings,,2024-03-05,,
640162,Plant,design-code-rule-category,plant,,homes-and-buildings,,2024-03-05,,
640163,House Type & Mix,design-code-rule-category,house-type-mix,,homes-and-buildings,,2024-03-05,,
640164,Accessibility,design-code-rule-category,accessibility,,homes-and-buildings,,2024-03-05,,
640165,"Light, Aspect & Privacy",design-code-rule-category,light-aspect-privacy,,homes-and-buildings,,2024-03-05,,
640166,Security,design-code-rule-category,security,,homes-and-buildings,,2024-03-05,,
640167,Gardens & Balconies,design-code-rule-category,gardens-balconies,,homes-and-buildings,,2024-03-05,,
640168,Energy Hierarchy,design-code-rule-category,energy-hierarchy,,resources,,2024-03-05,,
640169,Energy Efficiency,design-code-rule-category,energy-efficiency,,resources,,2024-03-05,,
640170,Neighbourhood Energy,design-code-rule-category,neighbourhood-energy,,resources,,2024-03-05,,
640171,Embodied Energy,design-code-rule-category,embodied-energy,,resources,,2024-03-05,,
640172,Construction,design-code-rule-category,construction,,resources,,2024-03-05,,
640173,MMC,design-code-rule-category,mmc,,resources,,2024-03-05,,
640174,Water,design-code-rule-category,water,,resources,,2024-03-05,,
640175,Management Plan,design-code-rule-category,management-plan,,lifespan,,2024-03-05,,
640176,Participation,design-code-rule-category,participation,,lifespan,,2024-03-05,,
640177,Community,design-code-rule-category,community,,lifespan,,2024-03-05,,
